transaction_date,transaction_type,category,amount
2023-06-09,Outflow,Utilities,4993.76
2022-03-04,Inflow,Marketing,12659.27
2024-11-02,Inflow,Marketing,20513.22
2024-01-31,Outflow,Utilities,8880.61
2022-07-24,Outflow,Rent,29527.74
2024-06-15,Inflow,Vendor Payments,14494.41
2022-02-09,Inflow,Rent,1829.97
2024-11-20,Outflow,Payroll,35145.56
2024-05-26,Inflow,Sales,37771.47
2024-04-04,Inflow,Rent,24856.98
2024-06-27,Outflow,Rent,32319.49
2023-02-02,Outflow,Marketing,5108.13
2023-09-26,Outflow,Payroll,10972.17
2024-04-18,Inflow,Marketing,13211.7
2023-08-23,Inflow,Utilities,38441.9
2023-09-17,Inflow,Marketing,20635.24
2024-07-26,Inflow,Vendor Payments,594.32
2024-06-02,Inflow,Sales,15393.38
2023-03-01,Outflow,Vendor Payments,607.7
2023-01-22,Inflow,Marketing,9740.89
2024-09-30,Outflow,Sales,18351.59
2024-05-07,Inflow,Rent,13138.7
2023-09-15,Outflow,Payroll,1599.55
2022-03-31,Outflow,Vendor Payments,4918.53
2023-01-20,Inflow,Payroll,22170.2
2024-09-23,Inflow,Marketing,27915.51
2023-10-09,Outflow,Sales,16360.6
2023-02-26,Outflow,Utilities,29339.83
2024-05-23,Outflow,Rent,6784.32
2022-02-22,Inflow,Sales,5145.7
2024-09-12,Outflow,Utilities,33626.31
2024-10-10,Outflow,Payroll,13766.77
2023-11-16,Inflow,Payroll,17460.24
2022-06-28,Outflow,Rent,37918.99
2022-10-20,Outflow,Utilities,17137.26
2023-01-10,Inflow,Utilities,438.56
2024-12-18,Outflow,Rent,37537.49
2024-12-13,Outflow,Sales,860.51
2024-03-06,Inflow,Vendor Payments,26592.77
2022-01-16,Inflow,Sales,13118.77
2022-06-25,Outflow,Payroll,18974.51
2022-05-09,Outflow,Sales,22027.22
2024-06-02,Outflow,Marketing,16515.86
2023-03-02,Inflow,Sales,31042.44
2022-12-20,Inflow,Sales,37249.04
2024-01-20,Inflow,Utilities,3730.56
2024-01-14,Outflow,Marketing,32070.04
2024-10-23,Inflow,Payroll,5408.24
2023-04-24,Outflow,Rent,3487.0
2024-09-02,Inflow,Sales,38246.51
2022-02-13,Inflow,Vendor Payments,19725.12
2022-06-04,Outflow,Utilities,6358.35
2024-08-04,Inflow,Utilities,22927.3
2024-07-16,Outflow,Rent,10750.51
2022-04-09,Inflow,Vendor Payments,18733.07
2022-06-20,Inflow,Sales,25098.99
2022-05-28,Outflow,Vendor Payments,34810.01
2022-05-03,Outflow,Utilities,422.33
2022-04-22,Inflow,Rent,8801.38
2024-10-19,Inflow,Vendor Payments,4121.94
2024-10-08,Outflow,Vendor Payments,4154.78
2022-03-09,Inflow,Rent,37847.36
2024-04-07,Outflow,Rent,37462.49
2024-06-10,Inflow,Rent,30047.53
2024-10-25,Outflow,Utilities,25829.6
2022-08-18,Inflow,Rent,33964.43
2022-06-09,Outflow,Marketing,2618.83
2022-07-05,Outflow,Sales,5043.59
2024-10-10,Inflow,Utilities,12889.38
2024-05-26,Outflow,Rent,33349.95
2023-07-06,Inflow,Payroll,19047.63
2022-05-27,Inflow,Vendor Payments,20291.92
2023-03-12,Inflow,Rent,9401.84
2024-01-02,Outflow,Rent,26040.98
2022-03-01,Inflow,Sales,35547.33
2024-04-22,Outflow,Rent,13381.71
2023-02-08,Outflow,Utilities,24881.68
2024-05-30,Inflow,Marketing,13478.37
2023-09-07,Inflow,Payroll,31770.95
2022-12-02,Inflow,Payroll,19155.9
2024-04-10,Inflow,Rent,13776.92
2022-10-12,Inflow,Sales,16975.94
2022-05-09,Outflow,Utilities,3921.73
2022-11-11,Outflow,Utilities,34684.85
2024-08-17,Inflow,Rent,38335.34
2022-03-12,Outflow,Vendor Payments,19253.34
