invoice_id,customer_id,invoice_date,invoice_amount,due_date
INV_1,CUST_17,2023-08-26,34959.73,2023-10-25
INV_2,CUST_38,2023-06-05,19448.54,2023-07-20
INV_3,CUST_24,2024-10-08,41180.63,2024-12-07
INV_4,CUST_69,2023-08-24,33145.78,2023-09-23
INV_5,CUST_116,2024-07-15,39913.95,2024-09-13
INV_6,CUST_98,2024-11-29,13961.33,2024-12-29
INV_7,CUST_70,2024-09-18,34771.77,2024-10-03
INV_8,CUST_86,2022-03-08,13571.07,2022-04-07
INV_9,CUST_11,2024-12-18,46983.89,2025-02-01
INV_10,CUST_112,2023-05-27,32000.53,2023-07-11
INV_11,CUST_16,2022-03-06,16563.33,2022-04-20
INV_12,CUST_97,2022-02-02,13840.84,2022-02-17
INV_13,CUST_73,2022-10-08,9950.87,2022-11-07
INV_14,CUST_59,2024-08-07,34884.73,2024-08-22
INV_15,CUST_70,2024-04-19,11326.42,2024-06-18
INV_16,CUST_80,2022-02-13,29967.51,2022-04-14
INV_17,CUST_93,2024-02-20,13599.43,2024-04-20
INV_18,CUST_3,2023-01-16,33267.46,2023-03-17
INV_19,CUST_20,2022-05-25,40839.52,2022-07-09
INV_20,CUST_59,2023-07-01,39012.25,2023-07-31
INV_21,CUST_36,2024-12-11,38162.14,2025-01-25
INV_22,CUST_19,2022-11-13,9792.26,2022-12-13
INV_23,CUST_90,2023-09-13,4875.05,2023-10-13
INV_24,CUST_67,2023-05-07,35097.97,2023-05-22
INV_25,CUST_19,2022-09-25,18733.19,2022-11-24
INV_26,CUST_20,2023-05-17,21901.14,2023-06-16
INV_27,CUST_96,2024-11-09,2041.88,2025-01-08
INV_28,CUST_71,2024-10-02,13349.03,2024-12-01
INV_29,CUST_52,2022-02-16,2166.98,2022-04-17
INV_30,CUST_105,2023-12-14,44019.7,2024-01-28
INV_31,CUST_33,2024-03-26,12548.14,2024-05-25
INV_32,CUST_40,2024-03-03,28088.19,2024-04-02
INV_33,CUST_39,2022-03-23,2429.48,2022-05-07
INV_34,CUST_82,2024-10-25,33508.95,2024-12-24
INV_35,CUST_104,2022-10-02,16489.85,2022-10-17
INV_36,CUST_1,2024-09-14,44947.0,2024-11-13
INV_37,CUST_11,2024-12-17,44461.85,2025-02-15
INV_38,CUST_92,2024-06-07,16601.89,2024-07-22
INV_39,CUST_57,2023-09-04,45097.56,2023-10-04
INV_40,CUST_89,2023-04-19,49809.8,2023-06-18
INV_41,CUST_50,2023-01-03,41358.08,2023-02-17
INV_42,CUST_23,2024-05-06,42321.13,2024-06-20
INV_43,CUST_31,2024-02-05,12825.93,2024-03-06
INV_44,CUST_94,2023-04-05,29046.77,2023-05-20
INV_45,CUST_42,2023-01-03,3829.17,2023-02-02
INV_46,CUST_99,2023-06-20,5198.44,2023-07-05
INV_47,CUST_7,2022-04-28,49945.18,2022-06-27
INV_48,CUST_16,2024-08-24,16668.64,2024-10-08
INV_49,CUST_90,2024-09-15,37535.1,2024-09-30
INV_50,CUST_112,2022-11-12,40429.92,2022-12-27
INV_51,CUST_116,2023-09-01,42972.15,2023-10-16
INV_52,CUST_60,2024-09-02,49882.6,2024-09-17
INV_53,CUST_113,2024-10-22,12454.08,2024-12-06
INV_54,CUST_2,2023-11-26,2497.37,2024-01-10
INV_55,CUST_1,2022-08-17,20853.98,2022-09-01
INV_56,CUST_48,2024-07-09,6938.99,2024-08-23
INV_57,CUST_12,2024-09-13,1610.08,2024-10-13
INV_58,CUST_69,2024-06-06,18341.13,2024-07-21
INV_59,CUST_37,2024-11-20,39295.04,2025-01-19
INV_60,CUST_32,2022-01-07,28525.94,2022-02-21
INV_61,CUST_119,2023-06-05,15982.51,2023-08-04
INV_62,CUST_9,2024-01-30,32889.93,2024-03-30
INV_63,CUST_105,2023-03-13,11984.9,2023-04-27
INV_64,CUST_99,2023-10-24,1211.88,2023-11-08
INV_65,CUST_19,2023-07-12,38335.49,2023-08-11
INV_66,CUST_48,2023-10-23,31375.28,2023-11-22
INV_67,CUST_80,2024-10-26,38233.98,2024-12-10
INV_68,CUST_3,2024-09-27,2427.43,2024-10-12
INV_69,CUST_20,2022-08-25,41937.42,2022-09-09
INV_70,CUST_24,2022-08-02,31166.55,2022-09-01
INV_71,CUST_54,2022-11-27,28388.07,2022-12-12
INV_72,CUST_120,2024-03-15,31418.4,2024-04-29
INV_73,CUST_33,2023-07-15,43289.45,2023-08-29
INV_74,CUST_24,2023-10-15,29553.36,2023-10-30
INV_75,CUST_116,2022-07-04,29257.04,2022-08-18
INV_76,CUST_75,2022-09-08,49538.62,2022-11-07
INV_77,CUST_113,2023-05-03,37958.14,2023-06-02
INV_78,CUST_72,2022-08-28,22393.54,2022-10-12
INV_79,CUST_36,2024-12-06,35516.15,2024-12-21
INV_80,CUST_38,2022-04-18,19766.91,2022-05-18
INV_81,CUST_104,2024-04-14,11829.34,2024-05-29
INV_82,CUST_84,2023-10-04,30044.17,2023-11-03
INV_83,CUST_99,2022-05-26,46445.01,2022-06-10
INV_84,CUST_112,2023-02-26,46492.41,2023-04-27
INV_85,CUST_89,2024-05-21,17424.31,2024-07-20
INV_86,CUST_99,2022-06-03,26620.03,2022-07-18
INV_87,CUST_25,2024-04-08,10975.98,2024-06-07
INV_88,CUST_93,2024-11-21,49783.74,2025-01-05
INV_89,CUST_18,2024-06-08,49065.34,2024-07-08
INV_90,CUST_110,2022-03-26,32650.69,2022-05-10
INV_91,CUST_82,2024-10-08,40318.5,2024-11-22
INV_92,CUST_66,2023-12-08,35897.46,2024-01-22
INV_93,CUST_54,2022-05-29,29861.33,2022-07-28
INV_94,CUST_35,2024-04-05,3140.73,2024-05-20
INV_95,CUST_80,2024-11-23,23010.83,2024-12-08
INV_96,CUST_61,2022-01-05,33901.92,2022-02-19
INV_97,CUST_41,2024-12-27,34037.81,2025-01-26
INV_98,CUST_100,2024-05-16,18969.57,2024-05-31
INV_99,CUST_33,2023-05-30,47113.75,2023-06-29
INV_100,CUST_68,2024-12-25,8784.17,2025-01-24
INV_101,CUST_33,2022-01-07,25267.79,2022-02-06
INV_102,CUST_14,2023-03-06,34698.76,2023-03-21
INV_103,CUST_21,2023-02-26,35008.22,2023-03-13
INV_104,CUST_48,2024-02-13,32607.63,2024-04-13
INV_105,CUST_20,2023-07-01,14126.77,2023-07-16
INV_106,CUST_120,2022-07-05,8232.23,2022-08-19
INV_107,CUST_8,2024-11-24,31979.05,2024-12-24
INV_108,CUST_7,2024-12-10,30165.45,2025-02-08
INV_109,CUST_67,2022-08-31,9378.12,2022-09-15
INV_110,CUST_17,2023-09-05,35404.39,2023-10-05
INV_111,CUST_33,2024-12-15,23031.01,2024-12-30
INV_112,CUST_48,2023-06-09,33554.15,2023-08-08
INV_113,CUST_76,2024-06-02,41949.67,2024-06-17
INV_114,CUST_59,2024-02-13,8901.56,2024-02-28
INV_115,CUST_115,2022-09-24,1447.67,2022-10-24
INV_116,CUST_86,2022-05-29,39065.58,2022-07-13
INV_117,CUST_119,2024-10-14,30680.02,2024-10-29
INV_118,CUST_22,2023-09-18,35132.16,2023-11-17
INV_119,CUST_110,2023-04-10,41988.67,2023-04-25
INV_120,CUST_30,2024-07-14,40239.14,2024-07-29
INV_121,CUST_38,2022-05-02,48065.55,2022-06-16
INV_122,CUST_102,2023-03-25,27028.79,2023-04-24
INV_123,CUST_109,2022-11-23,24680.53,2023-01-22
INV_124,CUST_51,2023-09-26,20393.42,2023-10-26
INV_125,CUST_54,2024-01-09,8107.71,2024-02-08
INV_126,CUST_8,2023-12-28,28844.06,2024-01-27
INV_127,CUST_27,2022-12-16,14212.12,2022-12-31
INV_128,CUST_27,2023-01-18,46104.72,2023-03-04
INV_129,CUST_98,2024-07-30,29367.94,2024-08-14
INV_130,CUST_21,2022-02-24,29845.59,2022-04-25
INV_131,CUST_30,2024-10-13,18068.77,2024-11-27
INV_132,CUST_97,2022-10-07,3073.47,2022-11-06
INV_133,CUST_28,2023-01-01,2071.32,2023-02-15
INV_134,CUST_111,2024-06-13,21455.09,2024-08-12
INV_135,CUST_64,2023-09-14,4685.99,2023-09-29
INV_136,CUST_97,2023-12-17,30538.92,2024-01-01
INV_137,CUST_69,2022-11-19,44108.16,2022-12-19
INV_138,CUST_61,2022-11-25,44204.28,2022-12-10
INV_139,CUST_48,2023-07-23,33122.75,2023-08-07
INV_140,CUST_19,2022-09-25,10955.98,2022-11-24
INV_141,CUST_4,2022-07-07,43218.34,2022-08-21
INV_142,CUST_35,2023-06-20,44361.63,2023-07-05
INV_143,CUST_64,2024-10-14,10234.35,2024-12-13
INV_144,CUST_49,2024-05-09,37002.59,2024-07-08
INV_145,CUST_17,2022-10-26,14682.72,2022-11-25
INV_146,CUST_44,2023-08-14,40230.7,2023-10-13
INV_147,CUST_92,2022-09-26,49863.28,2022-10-26
INV_148,CUST_30,2022-05-21,1986.29,2022-06-05
INV_149,CUST_93,2024-04-09,44919.61,2024-05-09
INV_150,CUST_46,2023-03-24,31320.21,2023-05-23
INV_151,CUST_117,2023-07-23,48682.44,2023-09-06
INV_152,CUST_6,2023-03-09,23517.97,2023-04-23
INV_153,CUST_99,2024-09-09,42445.7,2024-09-24
INV_154,CUST_105,2022-11-10,3588.51,2022-11-25
INV_155,CUST_37,2023-01-13,17096.31,2023-02-27
INV_156,CUST_24,2023-05-19,3817.32,2023-06-18
INV_157,CUST_93,2023-11-12,48779.49,2023-11-27
INV_158,CUST_113,2023-07-22,40940.21,2023-09-20
INV_159,CUST_46,2022-07-09,42701.1,2022-07-24
INV_160,CUST_53,2022-09-03,46929.28,2022-10-03
INV_161,CUST_95,2023-05-03,4712.62,2023-05-18
INV_162,CUST_99,2024-01-15,19587.08,2024-03-15
INV_163,CUST_60,2024-07-20,4016.23,2024-09-18
INV_164,CUST_97,2022-05-03,10934.26,2022-07-02
INV_165,CUST_116,2023-03-27,11853.61,2023-04-26
INV_166,CUST_63,2024-01-05,23720.81,2024-02-04
INV_167,CUST_85,2022-10-02,13793.83,2022-12-01
INV_168,CUST_32,2023-04-09,5498.42,2023-06-08
INV_169,CUST_87,2024-06-09,8790.81,2024-07-09
INV_170,CUST_33,2023-11-15,7790.14,2023-12-15
INV_171,CUST_67,2023-01-30,48667.3,2023-03-01
INV_172,CUST_18,2022-05-14,38084.98,2022-06-28
INV_173,CUST_25,2024-03-16,48404.19,2024-04-15
INV_174,CUST_106,2022-06-07,22267.15,2022-08-06
INV_175,CUST_95,2022-09-05,14279.24,2022-10-20
INV_176,CUST_54,2022-10-04,40015.51,2022-11-03
INV_177,CUST_58,2023-02-10,16649.57,2023-04-11
INV_178,CUST_67,2023-09-03,15319.48,2023-09-18
INV_179,CUST_104,2023-10-05,12009.05,2023-11-19
INV_180,CUST_46,2024-12-01,6919.11,2025-01-30
INV_181,CUST_24,2023-11-28,13194.92,2023-12-13
INV_182,CUST_114,2024-07-01,18088.33,2024-08-30
INV_183,CUST_32,2024-10-19,33862.71,2024-11-18
INV_184,CUST_47,2023-02-08,3596.96,2023-03-10
INV_185,CUST_86,2022-12-18,10920.09,2023-01-02
INV_186,CUST_23,2022-03-12,40546.67,2022-04-11
INV_187,CUST_66,2024-11-29,7772.64,2025-01-28
INV_188,CUST_27,2023-08-03,17460.93,2023-08-18
INV_189,CUST_106,2022-06-01,43300.62,2022-07-31
INV_190,CUST_2,2023-01-22,8168.8,2023-03-23
INV_191,CUST_90,2022-08-09,4595.47,2022-10-08
INV_192,CUST_17,2023-11-27,24484.63,2023-12-27
INV_193,CUST_104,2024-12-15,15469.77,2025-01-14
INV_194,CUST_33,2022-05-30,28388.71,2022-07-29
INV_195,CUST_9,2024-07-22,40288.34,2024-09-05
INV_196,CUST_43,2022-11-28,7288.85,2023-01-27
INV_197,CUST_118,2024-06-28,29244.6,2024-08-27
INV_198,CUST_48,2022-02-28,25522.68,2022-03-15
INV_199,CUST_39,2024-09-26,7631.9,2024-11-25
INV_200,CUST_93,2024-01-31,31387.93,2024-03-01
INV_201,CUST_42,2022-04-24,14045.2,2022-05-09
INV_202,CUST_119,2022-08-01,24647.8,2022-09-15
INV_203,CUST_26,2022-04-19,4572.48,2022-05-04
INV_204,CUST_99,2023-02-22,23249.41,2023-04-08
INV_205,CUST_50,2023-03-07,15669.94,2023-03-22
INV_206,CUST_25,2023-05-11,41207.87,2023-05-26
INV_207,CUST_24,2022-11-07,3320.45,2022-12-22
INV_208,CUST_13,2024-07-30,21221.06,2024-08-29
INV_209,CUST_60,2022-09-13,23192.36,2022-10-13
INV_210,CUST_7,2022-06-11,36387.8,2022-07-11
INV_211,CUST_57,2023-11-21,28927.23,2023-12-06
INV_212,CUST_36,2024-06-15,33527.01,2024-08-14
INV_213,CUST_45,2023-03-25,38963.94,2023-04-09
INV_214,CUST_20,2022-05-22,43179.05,2022-07-21
INV_215,CUST_65,2023-10-17,16036.84,2023-12-16
INV_216,CUST_8,2024-08-15,27132.12,2024-09-14
INV_217,CUST_110,2024-03-10,42085.35,2024-05-09
INV_218,CUST_16,2024-09-12,49477.83,2024-09-27
INV_219,CUST_14,2024-11-08,44531.21,2024-11-23
