invoice_id,due_date,invoice_amount,days_late,payment_date,payment_amount
INV_1,2023-10-25,34959.73,15,2023-11-09,34959.73
INV_2,2023-07-20,19448.54,15,2023-08-04,19448.54
INV_3,2024-12-07,41180.63,0,2024-12-07,41180.63
INV_4,2023-09-23,33145.78,5,2023-09-28,33145.78
INV_5,2024-09-13,39913.95,15,2024-09-28,39913.95
INV_6,2024-12-29,13961.33,0,2024-12-29,13961.33
INV_7,2024-10-03,34771.77,5,2024-10-08,34771.77
INV_8,2022-04-07,13571.07,0,2022-04-07,13571.07
INV_9,2025-02-01,46983.89,5,2025-02-06,46983.89
INV_10,2023-07-11,32000.53,0,2023-07-11,32000.53
INV_11,2022-04-20,16563.33,15,2022-05-05,16563.33
INV_12,2022-02-17,13840.84,0,2022-02-17,13840.84
INV_13,2022-11-07,9950.87,0,2022-11-07,9950.87
INV_14,2024-08-22,34884.73,15,2024-09-06,34884.73
INV_15,2024-06-18,11326.42,0,2024-06-18,11326.42
INV_16,2022-04-14,29967.51,0,2022-04-14,29967.51
INV_17,2024-04-20,13599.43,0,2024-04-20,13599.43
INV_18,2023-03-17,33267.46,0,2023-03-17,33267.46
INV_19,2022-07-09,40839.52,30,2022-08-08,40839.52
INV_20,2023-07-31,39012.25,15,2023-08-15,39012.25
INV_21,2025-01-25,38162.14,0,2025-01-25,38162.14
INV_22,2022-12-13,9792.26,15,2022-12-28,9792.26
INV_23,2023-10-13,4875.05,5,2023-10-18,4875.05
INV_24,2023-05-22,35097.97,30,2023-06-21,35097.97
INV_25,2022-11-24,18733.19,0,2022-11-24,18733.19
INV_26,2023-06-16,21901.14,5,2023-06-21,21901.14
INV_27,2025-01-08,2041.88,5,2025-01-13,2041.88
INV_28,2024-12-01,13349.03,5,2024-12-06,13349.03
INV_29,2022-04-17,2166.98,5,2022-04-22,2166.98
INV_30,2024-01-28,44019.7,0,2024-01-28,44019.7
INV_31,2024-05-25,12548.14,15,2024-06-09,12548.14
INV_32,2024-04-02,28088.19,5,2024-04-07,28088.19
INV_33,2022-05-07,2429.48,60,2022-07-06,2429.48
INV_34,2024-12-24,33508.95,0,2024-12-24,33508.95
INV_35,2022-10-17,16489.85,15,2022-11-01,16489.85
INV_36,2024-11-13,44947.0,30,2024-12-13,44947.0
INV_37,2025-02-15,44461.85,15,2025-03-02,44461.85
INV_38,2024-07-22,16601.89,30,2024-08-21,16601.89
INV_39,2023-10-04,45097.56,15,2023-10-19,45097.56
INV_40,2023-06-18,49809.8,0,2023-06-18,49809.8
INV_41,2023-02-17,41358.08,5,2023-02-22,41358.08
INV_42,2024-06-20,42321.13,0,2024-06-20,42321.13
INV_43,2024-03-06,12825.93,5,2024-03-11,12825.93
INV_44,2023-05-20,29046.77,0,2023-05-20,29046.77
INV_45,2023-02-02,3829.17,15,2023-02-17,3829.17
INV_46,2023-07-05,5198.44,5,2023-07-10,5198.44
INV_47,2022-06-27,49945.18,5,2022-07-02,49945.18
INV_48,2024-10-08,16668.64,0,2024-10-08,16668.64
INV_49,2024-09-30,37535.1,60,2024-11-29,37535.1
INV_50,2022-12-27,40429.92,0,2022-12-27,40429.92
INV_51,2023-10-16,42972.15,-5,2023-10-11,42972.15
INV_52,2024-09-17,49882.6,0,2024-09-17,49882.6
INV_53,2024-12-06,12454.08,60,2025-02-04,12454.08
INV_54,2024-01-10,2497.37,60,2024-03-10,2497.37
INV_55,2022-09-01,20853.98,15,2022-09-16,20853.98
INV_56,2024-08-23,6938.99,30,2024-09-22,6938.99
INV_57,2024-10-13,1610.08,0,2024-10-13,1610.08
INV_58,2024-07-21,18341.13,60,2024-09-19,18341.13
INV_59,2025-01-19,39295.04,0,2025-01-19,39295.04
INV_60,2022-02-21,28525.94,0,2022-02-21,28525.94
INV_61,2023-08-04,15982.51,0,2023-08-04,15982.51
INV_62,2024-03-30,32889.93,5,2024-04-04,32889.93
INV_63,2023-04-27,11984.9,15,2023-05-12,11984.9
INV_64,2023-11-08,1211.88,0,2023-11-08,1211.88
INV_65,2023-08-11,38335.49,60,2023-10-10,38335.49
INV_66,2023-11-22,31375.28,5,2023-11-27,31375.28
INV_67,2024-12-10,38233.98,0,2024-12-10,38233.98
INV_68,2024-10-12,2427.43,5,2024-10-17,2427.43
INV_69,2022-09-09,41937.42,15,2022-09-24,41937.42
INV_70,2022-09-01,31166.55,15,2022-09-16,31166.55
INV_71,2022-12-12,28388.07,5,2022-12-17,28388.07
INV_72,2024-04-29,31418.4,5,2024-05-04,31418.4
INV_73,2023-08-29,43289.45,0,2023-08-29,43289.45
INV_74,2023-10-30,29553.36,5,2023-11-04,29553.36
INV_75,2022-08-18,29257.04,60,2022-10-17,29257.04
INV_76,2022-11-07,49538.62,-5,2022-11-02,49538.62
INV_77,2023-06-02,37958.14,30,2023-07-02,37958.14
INV_78,2022-10-12,22393.54,5,2022-10-17,22393.54
INV_79,2024-12-21,35516.15,0,2024-12-21,35516.15
INV_80,2022-05-18,19766.91,60,2022-07-17,19766.91
INV_81,2024-05-29,11829.34,5,2024-06-03,11829.34
INV_82,2023-11-03,30044.17,0,2023-11-03,30044.17
INV_83,2022-06-10,46445.01,0,2022-06-10,46445.01
INV_84,2023-04-27,46492.41,0,2023-04-27,46492.41
INV_85,2024-07-20,17424.31,15,2024-08-04,17424.31
INV_86,2022-07-18,26620.03,5,2022-07-23,26620.03
INV_87,2024-06-07,10975.98,30,2024-07-07,10975.98
INV_88,2025-01-05,49783.74,0,2025-01-05,49783.74
INV_89,2024-07-08,49065.34,0,2024-07-08,49065.34
INV_90,2022-05-10,32650.69,-5,2022-05-05,32650.69
INV_91,2024-11-22,40318.5,5,2024-11-27,40318.5
INV_92,2024-01-22,35897.46,60,2024-03-22,35897.46
INV_93,2022-07-28,29861.33,15,2022-08-12,29861.33
INV_94,2024-05-20,3140.73,0,2024-05-20,3140.73
INV_95,2024-12-08,23010.83,30,2025-01-07,23010.83
INV_96,2022-02-19,33901.92,15,2022-03-06,33901.92
INV_97,2025-01-26,34037.81,-5,2025-01-21,34037.81
INV_98,2024-05-31,18969.57,15,2024-06-15,18969.57
INV_99,2023-06-29,47113.75,0,2023-06-29,47113.75
INV_100,2025-01-24,8784.17,0,2025-01-24,8784.17
INV_101,2022-02-06,25267.79,0,2022-02-06,25267.79
